doctor_id,display_name,first_name,last_name,specialty,sub_specialty,credential,primary_department_id,hospital_id,employment_type,fte,hire_date,is_active,update_ts
DR00001,Dr. Steven MacDonald,Steven,MacDonald,Emergency Medicine,Surgical,MD FRCSC,H003-D07,H003,Staff,1.0,2016-08-21,1,2024-01-01 04:00:00
DR00002,Dr. Lisa Williams,Lisa,Williams,Paediatrics,Surgical,MD,H002-D06,H002,Staff,0.4,2017-11-23,1,2024-01-01 04:00:00
DR00003,Dr. Mary Kumar,Mary,Kumar,Emergency Medicine,,MD FRCPC,H002-D08,H002,Staff,1.0,2005-12-14,1,2024-01-01 04:00:00
DR00004,Dr. Fatima Johnson,Fatima,Johnson,Respirology,,MD,H002-D09,H002,Staff,1.0,2023-05-10,1,2024-01-01 04:00:00
DR00005,Dr. Nadia Clark,Nadia,Clark,Physiatry,Surgical,MD FRCSC,H001-D07,H001,Staff,0.8,2015-04-28,1,2024-01-01 04:00:00
DR00006,Dr. Emily Singh,Emily,Singh,Emergency Medicine,Paediatric,MD FRCPC,H003-D06,H003,Staff,1.0,2018-02-14,1,2024-01-01 04:00:00
DR00007,Dr. Marie Thompson,Marie,Thompson,Obstetrics,,MD FRCPC,H003-D05,H003,Staff,1.0,2019-12-02,1,2024-01-01 04:00:00
DR00008,Dr. Claire Nelson,Claire,Nelson,Cardiology,Paediatric,MD FRCSC,H002-D01,H002,Staff,0.8,2015-11-30,1,2024-01-01 04:00:00
DR00009,Dr. David Allen,David,Allen,Respirology,Surgical,MD,H002-D09,H002,Staff,0.4,2005-05-07,1,2024-01-01 04:00:00
DR00010,Dr. Kenneth Patel,Kenneth,Patel,Internal Medicine,Interventional,MD FRCSC,H002-D03,H002,Staff,1.0,2005-01-31,1,2024-01-01 04:00:00
DR00011,Dr. Margaret Williams,Margaret,Williams,Paediatrics,Surgical,MD CCFP,H001-D06,H001,Resident,0.8,2019-06-29,1,2024-01-01 04:00:00
DR00012,Dr. Ahmed Brown,Ahmed,Brown,Oncology,Paediatric,MD FRCSC,H001-D07,H001,Staff,1.0,2009-05-27,1,2024-01-01 04:00:00
DR00013,Dr. Yusuf Young,Yusuf,Young,General Surgery,Surgical,MD FRCPC,H003-D02,H003,Locum,1.0,2015-09-15,1,2024-01-01 04:00:00
DR00014,Dr. Nancy Li,Nancy,Li,Internal Medicine,Interventional,MD FRCSC,H004-D03,H004,Staff,1.0,2003-05-30,1,2024-01-01 04:00:00
DR00015,Dr. Jin Jackson,Jin,Jackson,General Surgery,Paediatric,MD,H003-D02,H003,Staff,1.0,2022-09-27,1,2024-01-01 04:00:00
DR00016,Dr. David Li,David,Li,Obstetrics,Surgical,MD CCFP,H003-D05,H003,Staff,1.0,2019-03-03,1,2024-01-01 04:00:00
DR00017,Dr. Luc Gonzalez,Luc,Gonzalez,Emergency Medicine,,MD CCFP,H003-D06,H003,Resident,0.8,2009-03-27,1,2024-01-01 04:00:00
DR00018,Dr. Ling Cote,Ling,Cote,Anaesthesiology,Surgical,MD,H002-D10,H002,Staff,0.6,2013-02-04,1,2024-01-01 04:00:00
DR00019,Dr. Amara Wright,Amara,Wright,Internal Medicine,Paediatric,MD FRCSC,H004-D03,H004,Staff,1.0,2014-01-31,1,2024-01-01 04:00:00
DR00020,Dr. Jin Garcia,Jin,Garcia,Oncology,Surgical,MD,H003-D07,H003,Staff,1.0,2011-09-20,1,2024-01-01 04:00:00
DR00021,Dr. Richard Kim,Richard,Kim,Oncology,Surgical,MD FRCPC,H002-D07,H002,Staff,0.5,2014-05-02,1,2024-01-01 04:00:00
DR00022,Dr. Nadia Johnson,Nadia,Johnson,Neurology,,MD CCFP,H003-D08,H003,Resident,0.6,2015-04-22,1,2024-01-01 04:00:00
DR00023,Dr. Luc Fraser,Luc,Fraser,Neurology,Paediatric,MD CCFP,H002-D08,H002,Staff,1.0,2003-10-01,1,2024-01-01 04:00:00
DR00024,Dr. Yuki Adams,Yuki,Adams,Emergency Medicine,Paediatric,MD FRCPC,H004-D10,H004,Staff,0.8,2012-09-11,1,2024-01-01 04:00:00
DR00025,Dr. Brian Wright,Brian,Wright,Physiatry,Interventional,MD FRCPC,H003-D03,H003,Staff,1.0,2007-07-16,1,2024-01-01 04:00:00
DR00026,Dr. Margaret Santos,Margaret,Santos,Cardiology,Interventional,MD FRCPC,H002-D01,H002,Staff,0.5,2002-12-13,1,2024-01-01 04:00:00
DR00027,Dr. Ingrid Nelson,Ingrid,Nelson,Cardiology,Paediatric,MD FRCSC,H003-D01,H003,Resident,1.0,2022-10-30,1,2024-01-01 04:00:00
DR00028,Dr. Ashley Williams,Ashley,Williams,Anaesthesiology,Surgical,MD FRCSC,H001-D05,H001,Locum,0.8,2019-10-25,1,2024-01-01 04:00:00
DR00029,Dr. Betty Hernandez,Betty,Hernandez,General Surgery,Interventional,MD FRCPC,H001-D02,H001,Staff,0.8,2018-06-10,1,2024-01-01 04:00:00
DR00030,Dr. Chen Hill,Chen,Hill,Internal Medicine,Interventional,MD FRCSC,H002-D03,H002,Staff,0.8,2003-05-18,1,2024-01-01 04:00:00
DR00031,Dr. Linda Kelly,Linda,Kelly,Cardiology,Paediatric,MD,H001-D01,H001,Resident,0.8,2003-07-28,1,2024-01-01 04:00:00
DR00032,Dr. David Nelson,David,Nelson,Respirology,,MD FRCPC,H001-D09,H001,Staff,1.0,2017-07-05,1,2024-01-01 04:00:00
DR00033,Dr. Linda Fraser,Linda,Fraser,Internal Medicine,Paediatric,MD FRCPC,H002-D03,H002,Staff,0.5,2007-10-12,1,2024-01-01 04:00:00
DR00034,Dr. Anthony Harris,Anthony,Harris,Oncology,Interventional,MD CCFP,H002-D07,H002,Resident,1.0,2015-02-26,1,2024-01-01 04:00:00
DR00035,Dr. Amanda Miller,Amanda,Miller,Emergency Medicine,Interventional,MD CCFP,H002-D09,H002,Resident,0.6,2003-02-06,1,2024-01-01 04:00:00
DR00036,Dr. Luc Patel,Luc,Patel,Obstetrics,Interventional,MD,H001-D05,H001,Staff,0.4,2009-05-12,1,2024-01-01 04:00:00
DR00037,Dr. Omar Brown,Omar,Brown,General Surgery,Surgical,MD FRCPC,H001-D02,H001,Staff,1.0,2018-08-12,1,2024-01-01 04:00:00
DR00038,Dr. Sofia Osei,Sofia,Osei,Internal Medicine,Paediatric,MD FRCSC,H004-D03,H004,Staff,1.0,2011-03-12,1,2024-01-01 04:00:00
